qubit,t1_time,t1_err,t2r_time,t2r_err,t2e_time,t2e_err,temp_mK,timestamp
Q4,1.1456661047355567,0.4131212818326156,0.7533616036976758,0.6008245962336628,0.9449879863790576,0.8569297421016326,210,2026-03-16 12:02:52
Q1,17.32480786947456,0.9374218940531913,9.91695776186594,1.2343316324397016,7.627399825523292,0.9278185646022296,30,2026-03-12 23:42:43
Q2,24.53236638667514,1.4865833385108118,3.5909598214285716,1.256491638899598,3.5909598214285716,1.162710285225457,30,2026-03-12 23:49:57
Q3,17.527535655004236,0.8764444312019324,9.714576494555374,0.8835501770857429,10.04079882053653,0.8901057463845651,30,2026-03-12 23:57:17
Q4,29.252654141321,1.5653870958148175,10.780114191773462,1.6172954026741355,9.133067491476204,1.6518977308286638,30,2026-03-13 00:04:36
Q1,15.991834167341427,0.9037811468765539,8.720659976050404,1.0273338738857936,7.810748879283904,0.8879340242429606,40,2026-03-13 00:36:26
Q2,24.891980256698083,1.697925146723642,3.5909598214285716,1.253924325908634,3.5909598214285716,1.223489882492306,40,2026-03-13 00:43:41
Q3,23.788766821776704,1.1623760947979715,6.361131105406975,0.8303773270874388,13.223976064353492,1.6467339805518337,40,2026-03-13 00:51:02
Q4,24.526837720845087,1.5207296112329678,6.93602824426285,1.1777211713019309,9.516421301022397,1.4761602768503814,40,2026-03-13 00:58:22
Q1,18.364182403537527,1.019092897523702,6.6277525698755815,0.9895851091939488,8.810938730161517,1.0645134057861159,50,2026-03-13 08:21:33
Q2,24.853502226925006,1.76595236295394,3.5909598214285716,1.1053246376478871,3.5909598214285716,1.228917947845615,50,2026-03-13 08:28:47
Q3,25.96189219979274,1.2555463172288797,9.993563059852146,1.0110937368420077,14.325613808487692,1.2441611650759674,50,2026-03-13 08:36:06
Q4,26.25625863636072,1.3700654232747513,8.677761483016802,1.1702606678518264,8.008583623526615,1.277149908602358,50,2026-03-13 08:43:25
Q1,15.107866188320799,0.7701355775216754,6.94867334799174,0.9476580621063059,6.509314608736574,0.8206980653722723,60,2026-03-13 09:42:12
Q2,21.766676544832183,1.332864460939967,3.5909598214285716,1.156779674970254,3.5909598214285716,1.2312033894202448,60,2026-03-13 09:49:26
Q3,24.800158196831003,1.27091568492888,9.310499584260537,1.121488582698515,9.889172685860968,0.9608802656698211,60,2026-03-13 09:56:54
Q4,25.200520334762775,1.498226163893929,10.21207846614478,1.4242168411271208,7.67797350897948,1.2540571536629856,60,2026-03-13 10:04:19
Q1,16.358570472847507,0.8050121042241515,7.170292355538435,0.8995813701917684,6.707796334883648,0.8675135939185162,70,2026-03-13 10:33:30
Q2,26.505090596597917,1.8117323229177058,3.5910030052780457,1.2559025246884434,3.5909598214285716,1.2560642058266518,70,2026-03-13 10:40:45
Q3,27.14556366504745,1.2548890624150206,9.681910064087965,0.9254572584116287,12.311319648042852,1.5146461609788209,70,2026-03-13 10:48:06
Q4,22.213108224770718,1.3154348643463398,7.8181841702839865,1.1275111150867396,6.927773869325877,1.1536345461673356,70,2026-03-13 10:55:25
Q1,16.36351647910453,0.8633178177477226,7.833933801754369,0.9782146012277196,6.581216411014539,0.9849463579243845,80,2026-03-13 11:38:08
Q2,27.46134662634342,1.9433810034837364,3.5909598214285716,1.2076443962477212,3.5909598214285716,1.3327287684003155,80,2026-03-13 11:45:22
Q3,18.84398180324879,0.9713984038671722,8.972018463499616,0.8986013192770115,9.639799490516163,1.061146259776377,80,2026-03-13 11:52:41
Q4,22.325364020560887,1.3277244933965342,8.618468705824831,1.25032842667922,7.723377757514284,1.2504524030943347,80,2026-03-13 12:00:03
Q1,17.30225266047622,0.9564002427217255,7.18619763535291,1.011785626978327,7.023755476101564,0.8739444028223543,80,2026-03-13 12:42:20
Q2,17.387589888433276,1.5558666428517178,3.5909598214285716,1.1904396483810609,3.5909598214285716,1.280340924716913,80,2026-03-13 12:49:37
Q3,19.33368055570226,1.1075135779629721,5.606472751166052,0.7051484088038973,10.811611339244502,1.1018900527856421,80,2026-03-13 12:56:58
Q4,17.283596882598935,1.362381936550237,6.662010488241564,0.9999625205894839,6.81400273466786,1.107369181226662,80,2026-03-13 13:04:18
Q1,17.30225266047622,0.9564002427217255,7.18619763535291,1.011785626978327,7.023755476101564,0.8739444028223543,90,2026-03-13 12:42:20
